VCD info: dumpfile FIFO_tb.vcd opened for output.


|-------------------- MULTI-WRITE TEST --------------------|
|w_e|r_e|rst|d_in||Dout|v|cnt|o_f|u_f|f|n_f|n_e|e|wr_p|rd_p|
|---|---|---|----||----|-|---|---|---|-|---|---|-|----|----|
| 0 | 1 | 1 | 1f || 00 |1| 1f| 1 | 0 |1| 0 | 0 |0| 1f | 00 |
| 0 | 1 | 1 | 1f || 00 |1| 1e| 0 | 0 |0| 1 | 0 |0| 1f | 01 |
| 0 | 1 | 1 | 1f || 01 |1| 1d| 0 | 0 |0| 1 | 0 |0| 1f | 02 |
| 0 | 1 | 1 | 1f || 02 |1| 1c| 0 | 0 |0| 0 | 0 |0| 1f | 03 |
| 0 | 1 | 1 | 1f || 03 |1| 1b| 0 | 0 |0| 0 | 0 |0| 1f | 04 |
| 0 | 1 | 1 | 1f || 04 |1| 1a| 0 | 0 |0| 0 | 0 |0| 1f | 05 |
| 0 | 1 | 1 | 1f || 05 |1| 19| 0 | 0 |0| 0 | 0 |0| 1f | 06 |
| 0 | 1 | 1 | 1f || 06 |1| 18| 0 | 0 |0| 0 | 0 |0| 1f | 07 |
| 0 | 1 | 1 | 1f || 07 |1| 17| 0 | 0 |0| 0 | 0 |0| 1f | 08 |
| 0 | 1 | 1 | 1f || 08 |1| 16| 0 | 0 |0| 0 | 0 |0| 1f | 09 |
| 0 | 1 | 1 | 1f || 09 |1| 15| 0 | 0 |0| 0 | 0 |0| 1f | 0a |
| 0 | 1 | 1 | 1f || 0a |1| 14| 0 | 0 |0| 0 | 0 |0| 1f | 0b |
| 0 | 1 | 1 | 1f || 0b |1| 13| 0 | 0 |0| 0 | 0 |0| 1f | 0c |
| 0 | 1 | 1 | 1f || 0c |1| 12| 0 | 0 |0| 0 | 0 |0| 1f | 0d |
| 0 | 1 | 1 | 1f || 0d |1| 11| 0 | 0 |0| 0 | 0 |0| 1f | 0e |
| 0 | 1 | 1 | 1f || 0e |1| 10| 0 | 0 |0| 0 | 0 |0| 1f | 0f |
| 0 | 1 | 1 | 1f || 0f |1| 0f| 0 | 0 |0| 0 | 0 |0| 1f | 10 |
| 0 | 1 | 1 | 1f || 10 |1| 0e| 0 | 0 |0| 0 | 0 |0| 1f | 11 |
| 0 | 1 | 1 | 1f || 11 |1| 0d| 0 | 0 |0| 0 | 0 |0| 1f | 12 |
| 0 | 1 | 1 | 1f || 12 |1| 0c| 0 | 0 |0| 0 | 0 |0| 1f | 13 |
| 0 | 1 | 1 | 1f || 13 |1| 0b| 0 | 0 |0| 0 | 0 |0| 1f | 14 |
| 0 | 1 | 1 | 1f || 14 |1| 0a| 0 | 0 |0| 0 | 0 |0| 1f | 15 |
| 0 | 1 | 1 | 1f || 15 |1| 09| 0 | 0 |0| 0 | 0 |0| 1f | 16 |
| 0 | 1 | 1 | 1f || 16 |1| 08| 0 | 0 |0| 0 | 0 |0| 1f | 17 |
| 0 | 1 | 1 | 1f || 17 |1| 07| 0 | 0 |0| 0 | 0 |0| 1f | 18 |
| 0 | 1 | 1 | 1f || 18 |1| 06| 0 | 0 |0| 0 | 0 |0| 1f | 19 |
| 0 | 1 | 1 | 1f || 19 |1| 05| 0 | 0 |0| 0 | 0 |0| 1f | 1a |
| 0 | 1 | 1 | 1f || 1a |1| 04| 0 | 0 |0| 0 | 0 |0| 1f | 1b |
| 0 | 1 | 1 | 1f || 1b |1| 03| 0 | 0 |0| 0 | 0 |0| 1f | 1c |
| 0 | 1 | 1 | 1f || 1c |1| 02| 0 | 0 |0| 0 | 1 |0| 1f | 1d |
| 0 | 1 | 1 | 1f || 1d |1| 01| 0 | 0 |0| 0 | 1 |0| 1f | 1e |
| 0 | 1 | 1 | 1f || 1e |0| 00| 0 | 0 |0| 0 | 0 |1| 1f | 1f |
| 0 | 1 | 1 | 1f || 1e |0| 00| 0 | 1 |0| 0 | 0 |1| 1f | 1f |

		Resetting FIFO.....

|------------- SIMULTANEOUS READ/WRITE TEST ---------------|
|w_e|r_e|rst|d_in||Dout|v|cnt|o_f|u_f|f|n_f|n_e|e|wr_p|rd_p|
|---|---|---|----||----|-|---|---|---|-|---|---|-|----|----|
| 0 | 0 | 0 | 00 || 00 |0| 00| 0 | 0 |0| 0 | 0 |1| 00 | 00 |
| 1 | 0 | 1 | 41 || 00 |0| 00| 0 | 0 |0| 0 | 0 |1| 00 | 00 |
| 1 | 0 | 1 | 41 || 00 |0| 01| 0 | 0 |0| 0 | 1 |0| 01 | 00 |
| 1 | 0 | 1 | 22 || 00 |0| 01| 0 | 0 |0| 0 | 1 |0| 01 | 00 |
| 1 | 0 | 1 | 22 || 00 |0| 02| 0 | 0 |0| 0 | 1 |0| 02 | 00 |
| 1 | 0 | 1 | 7d || 00 |0| 02| 0 | 0 |0| 0 | 1 |0| 02 | 00 |
| 1 | 0 | 1 | 7d || 00 |0| 03| 0 | 0 |0| 0 | 0 |0| 03 | 00 |
| 1 | 0 | 1 | ff || 00 |0| 03| 0 | 0 |0| 0 | 0 |0| 03 | 00 |
| 1 | 0 | 1 | ff || 00 |0| 04| 0 | 0 |0| 0 | 0 |0| 04 | 00 |
| 1 | 0 | 1 | 3a || 00 |0| 04| 0 | 0 |0| 0 | 0 |0| 04 | 00 |
| 1 | 0 | 1 | 3a || 00 |0| 05| 0 | 0 |0| 0 | 0 |0| 05 | 00 |
| 1 | 1 | 1 | 99 || 00 |1| 05| 0 | 0 |0| 0 | 0 |0| 05 | 00 |
| 1 | 1 | 1 | 99 || 41 |1| 05| 0 | 0 |0| 0 | 0 |0| 06 | 01 |
| 1 | 1 | 1 | 86 || 41 |1| 05| 0 | 0 |0| 0 | 0 |0| 06 | 01 |
| 1 | 1 | 1 | 86 || 22 |1| 05| 0 | 0 |0| 0 | 0 |0| 07 | 02 |
| 1 | 1 | 1 | bc || 22 |1| 05| 0 | 0 |0| 0 | 0 |0| 07 | 02 |


|-------------------- END OF TESTING ----------------------|

